자치구,강간,"강간,추행",강도,살인,절도,폭력,강간 검거율,"강간,추행 검거율",강도 검거율,살인 검거율,절도 검거율,폭력 검거율
강남구,0.0,578.0,25.0,12.0,2372.0,3159.0,,0.7854671280276817,0.92,0.9166666666666666,0.48903878583473864,0.8702120924343146
강동구,0.0,124.0,6.0,3.0,1612.0,1713.0,,0.8306451612903226,1.0,1.0,0.5514888337468983,0.8528896672504378
강북구,0.0,136.0,1.0,4.0,777.0,1383.0,,0.8455882352941176,1.0,1.0,0.6911196911196911,0.9074475777295734
강서구,0.0,246.0,3.0,9.0,1540.0,2098.0,,0.7642276422764228,1.0,0.7777777777777778,0.5980519480519481,0.9175405147759771
관악구,0.0,321.0,7.0,8.0,1860.0,2248.0,,0.838006230529595,0.8571428571428571,0.5,0.49946236559139784,0.8567615658362989
광진구,0.0,208.0,4.0,5.0,1414.0,1456.0,,0.7740384615384616,1.0,0.6,0.5332390381895332,0.8791208791208791
구로구,0.0,182.0,2.0,5.0,1390.0,1907.0,,0.6483516483516484,0.5,1.0,0.5539568345323741,0.805977975878343
금천구,0.0,134.0,3.0,7.0,1013.0,1282.0,,0.7686567164179104,1.3333333333333333,0.8571428571428571,0.5133267522211253,0.8642745709828393
노원구,0.0,156.0,3.0,6.0,1361.0,1899.0,,0.8076923076923077,1.0,1.0,0.4805290227773696,0.7967351237493417
도봉구,72.0,0.0,2.0,2.0,772.0,1012.0,0.8888888888888888,,0.5,1.0,0.48704663212435234,0.8409090909090909
동대문구,0.0,169.0,7.0,3.0,1240.0,1540.0,,0.8698224852071006,1.1428571428571428,1.3333333333333333,0.5314516129032258,0.8409090909090909
동작구,0.0,180.0,1.0,2.0,1129.0,1319.0,,0.5222222222222223,1.0,1.5,0.5978742249778565,0.800606520090978
마포구,0.0,321.0,4.0,4.0,1510.0,1701.0,,0.8566978193146417,1.0,0.75,0.48344370860927155,0.8036449147560258
서대문구,0.0,137.0,2.0,3.0,1027.0,1109.0,,0.8759124087591241,1.0,1.0,0.5472249269717624,0.8178539224526601
서초구,47.0,265.0,5.0,9.0,1503.0,1827.0,0.7872340425531915,0.720754716981132,1.0,1.0,0.4597471723220226,0.8243021346469622
성동구,0.0,110.0,4.0,3.0,905.0,1090.0,,0.7454545454545455,0.25,1.3333333333333333,0.549171270718232,0.8495412844036697
성북구,118.0,0.0,2.0,4.0,895.0,1392.0,0.7457627118644068,,1.0,0.75,0.529608938547486,0.8764367816091954
송파구,0.0,247.0,7.0,3.0,2024.0,2433.0,,0.8744939271255061,0.8571428571428571,1.0,0.491600790513834,0.840937114673243
양천구,116.0,0.0,3.0,1.0,1349.0,1546.0,0.7931034482758621,,1.0,1.0,0.5189028910303929,0.833764553686934
영등포구,0.0,279.0,11.0,8.0,1712.0,2169.0,,0.7025089605734767,1.0,1.0,0.48539719626168226,0.7980636237897649
용산구,0.0,141.0,1.0,3.0,945.0,1291.0,,0.7304964539007093,1.0,0.6666666666666666,0.5121693121693122,0.8280402788536019
은평구,0.0,166.0,3.0,4.0,1424.0,1647.0,,0.8012048192771084,1.0,1.25,0.5793539325842697,0.8846387370977535
종로구,0.0,156.0,4.0,6.0,1079.0,1467.0,,0.6538461538461539,1.0,0.5,0.46709916589434664,0.8098159509202454
중구,0.0,161.0,6.0,6.0,1279.0,1409.0,,0.6024844720496895,1.0,1.0,0.5777951524628616,0.8687012065294535
중랑구,0.0,141.0,6.0,4.0,1399.0,1660.0,,0.8297872340425532,1.1666666666666667,1.0,0.5968548963545389,0.8686746987951808
